slug,name,links,oss,license,dev_languages,vector_launch_year,metadata_filter,hybrid_search,facets,geo_search,multi_vec,sparse_vectors,bm25,full_text,embeddings_text,embeddings_image,embeddings_structured,rag,recsys,langchain,llamaindex,managed_cloud,pricing,in_process,multi_tenancy,disk_index,ephemeral,sharding,doc_size,vector_dims,binary_quantization,index_types,github_stars,docker_pulls,pypi_downloads,npm_downloads,crates_io_downloads,int8_quantization
activeloop,Activeloop Deep Lake,"{'docs': 'https://docs.activeloop.ai/', 'github': 'https://github.com/activeloopai/deeplake', 'website': 'https://www.activeloop.ai/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/97', 'poc_github': 'https://github.com/davidbuniat', 'slug': 'activeloop'}",full,MPL 2.0,"['python', 'c++']",2023,full,full,,none,full,partial,full,full,partial,partial,,,,full,full,full,"Free 200GB, then $100 per month per 30M embeddings (200GB)",full,full,full,,partial,"{'bytes': 0, 'unlimited': True, 'source_url': '', 'comment': ''}",0,partial,['HNSW'],8588,0,1442811,0,0,
aerospike,Aerospike,"{'docs': 'https://aerospike.com/docs/vector/', 'github': 'https://github.com/aerospike/aerospike-vector-search-examples', 'website': 'https://aerospike.com/vector/', 'vendor_discussion': '', 'poc_github': 'https://github.com/hev', 'slug': 'aerospike'}",none,Proprietary,['kotlin'],2024,none,none,none,none,full,none,none,none,none,none,,,,full,none,full,,none,,none,,none,"{'bytes': 0, 'unlimited': True, 'source_url': '', 'comment': ''}",0,none,['HNSW'],0,0,3055,0,0,none
anariai,Anari AI,"{'docs': '', 'github': 'https://github.com/Anari-AI', 'website': 'https://anari.ai/vector-acceleration-engine/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/99', 'poc_github': 'https://github.com/jovan-stojanovic', 'slug': 'anariai'}",none,Proprietary,[''],2023,,none,,none,,,none,,,,,,,none,none,full,,,,,none,,"{'bytes': 0, 'unlimited': True, 'source_url': '', 'comment': ''}",0,,['Proprietary'],0,0,0,4055,0,
apachecassandra,Apache Cassandra,"{'docs': 'https://cassandra.apache.org/doc/latest/cassandra/vector-search/overview.html', 'github': 'https://github.com/apache/cassandra', 'website': 'https://cassandra.apache.org/_/Apache-Cassandra-5.0-Moving-Toward-an-AI-Driven-Future.html', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/84', 'poc_github': 'https://github.com/jbellis', 'slug': 'apachecassandra'}",full,Apache-2.0,['java'],2023,full,full,,,,none,,none,,,,,,,,,,none,full,full,,,"{'bytes': 0, 'unlimited': False, 'source_url': '', 'comment': ''}",0,,"['FLAT', 'HNSW']",9177,221208983,107598913,5220288,98958,
apachesolr,Apache Solr,"{'docs': 'https://solr.apache.org/guide/solr/latest/query-guide/dense-vector-search.html', 'github': 'https://github.com/apache/solr', 'website': 'https://solr.apache.org/guide/solr/latest/query-guide/dense-vector-search.html#usage-as-re-ranking-query', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/78', 'poc_github': 'https://github.com/alessandrobenedetti', 'slug': 'apachesolr'}",full,Apache-2.0,['java'],2022,full,full,full,full,full,,full,full,none,none,,none,full,,none,full,,partial,full,,none,full,"{'bytes': 0, 'unlimited': True, 'source_url': '', 'comment': ''}",0,,"['FLAT', 'HNSW']",1375,346660623,14071217,546339,1917,
aperturedb,ApertureDB,"{'docs': 'https://docs.aperturedata.io/', 'github': 'https://github.com/aperture-data', 'website': 'https://www.aperturedata.io/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/95', 'poc_github': 'https://github.com/luisremis', 'slug': 'aperturedb'}",partial,Proprietary,['c++'],2021,full,,full,,partial,,,,full,full,,,,full,partial,full,Instance-based hourly (cloud) or annual (VPC) pricing with free trial,none,,,partial,partial,"{'bytes': 0, 'unlimited': True, 'source_url': 'https://docs.aperturedata.io/administration/Configuring%20ApertureDB', 'comment': 'You can store large or small files but need to change the `max_connection_message_size_mb` for adding or querying files larger than 256MB. For very large files like GBs of video, it will require optimizations to send over network or would be slow.'}",0,,"['HNSW', 'FLAT', 'IVF']",0,0,247468,13891,0,
azureai,Azure AI Search,"{'docs': 'https://learn.microsoft.com/azure/search/', 'github': 'https://github.com/Azure', 'website': 'https://azure.microsoft.com/products/ai-services/ai-search/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/88', 'poc_github': 'https://github.com/farzad528', 'slug': 'azureai'}",none,Proprietary,['c++'],2023,full,full,full,full,full,none,full,full,full,partial,,full,none,full,full,full,Pricing - Azure Cognitive Search,none,full,none,none,full,"{'bytes': 16000000, 'unlimited': False, 'source_url': 'https://learn.microsoft.com/azure/search/search-limits-quotas-capacity', 'comment': 'Limited by batch size. However, the maximum size of a document is 16 MB. There is no max document limit per index.'}",4096,full,"['FLAT', 'HNSW']",0,0,42369155,11362731,0,full
chroma,Chroma,"{'docs': 'https://docs.trychroma.com/', 'github': 'https://github.com/chroma-core/chroma', 'website': 'https://www.trychroma.com/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/79', 'poc_github': 'https://github.com/jeffchuber', 'slug': 'chroma'}",full,Apache-2.0,"['rust', 'python']",2022,full,none,,,none,none,none,partial,full,full,,,,full,full,none,,full,full,partial,full,,"{'bytes': 0, 'unlimited': False, 'source_url': '', 'comment': ''}",0,,['HNSW'],19651,0,37636209,2901061,28377,
clickhouse,ClickHouse,"{'docs': 'https://clickhouse.com/docs/knowledgebase/vector-search', 'github': 'https://github.com/ClickHouse/ClickHouse', 'website': 'https://clickhouse.com/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/100', 'poc_github': 'https://github.com/cwurm', 'slug': 'clickhouse'}",full,Apache 2.0,['c++'],2022,full,none,full,full,full,none,none,full,partial,partial,,none,none,full,full,full,Clickhouse Pricing,partial,full,full,none,full,"{'bytes': 0, 'unlimited': True, 'source_url': '', 'comment': ''}",0,,['HNSW'],40493,0,219345,26327107,896271,
couchbase,Couchbase,"{'docs': 'https://docs.couchbase.com/cloud/vector-search/vector-search.html', 'github': 'https://github.com/couchbase', 'website': 'https://www.couchbase.com/products/vector-search/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/378', 'poc_github': 'https://github.com/1tylermitchell', 'slug': 'couchbase'}",partial,Proprietary,"['c++', 'erlang']",2024,full,full,full,full,full,,,full,none,none,none,none,,full,full,full,Couchbase Pricing,,full,full,none,full,"{'bytes': 20000000, 'unlimited': False, 'source_url': 'https://docs.couchbase.com/server/current/learn/views/views-writing-views.html#limits-on-document-sizes-for-indexing', 'comment': ''}",4096,,,1636,87646314,15881242,1275419,43303,partial
cratedb,CrateDB,"{'docs': 'https://cratedb.com/solutions/vector-database', 'github': 'https://github.com/crate/crate', 'website': 'https://cratedb.com/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/98', 'poc_github': 'https://github.com/marijaselakovic', 'slug': 'cratedb'}",full,Apache 2.0,['java'],2023,full,,full,full,full,,full,full,,,,,,full,,full,CrateDB Pricing https://console.cratedb.cloud/,,full,full,,full,"{'bytes': 0, 'unlimited': False, 'source_url': '', 'comment': ''}",2048,,"['FLAT', 'HNSW']",4235,18848089,1558861,24574,9947,
databricks,Databricks Vector Search,"{'docs': 'https://docs.databricks.com/en/generative-ai/vector-search.html', 'github': '', 'website': 'https://www.databricks.com/product/machine-learning/vector-search', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/514', 'poc_github': 'kobindra', 'slug': 'databricks'}",none,Proprietary,[''],2024,full,full,none,none,none,none,full,full,full,none,none,full,full,full,full,full,full,none,full,partial,none,full,"{'bytes': 32768, 'unlimited': False, 'source_url': 'https://docs.databricks.com/en/generative-ai/vector-search.html#resource-and-data-size-limits', 'comment': ''}",4096,,['HNSW'],0,0,0,0,0,
datastaxastra,DataStax Astra DB,"{'docs': 'https://docs.datastax.com/en/astra-serverless/docs/vector-search/overview.html', 'github': 'https://github.com/datastax/', 'website': 'https://www.datastax.com/products/datastax-astra', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/85', 'poc_github': 'https://github.com/Erick%20Ramirez', 'slug': 'datastaxastra'}",none,Proprietary,"['java', 'go']",2023,full,full,full,full,none,none,none,full,full,none,,full,,full,full,full,https://www.datastax.com/pricing/astra-db,none,full,full,full,full,"{'bytes': 250000000, 'unlimited': False, 'source_url': '', 'comment': ''}",8192,,"['FLAT', 'HNSW', 'FreshDiskANN']",0,0,1126771,1621436,0,
elasticsearch,Elasticsearch,"{'docs': 'https://www.elastic.co/guide/en/elasticsearch/reference/current/knn-search.html', 'github': 'https://github.com/elastic/elasticsearch', 'website': 'https://www.elastic.co/enterprise-search/vector-search', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/76', 'poc_github': 'https://github.com/m-adams', 'slug': 'elasticsearch'}",none,Elastic License v2,['java'],2021,full,full,full,full,full,full,full,full,full,,,,,full,full,full,,none,full,full,,full,"{'bytes': 100000000, 'unlimited': False, 'source_url': '', 'comment': ''}",4096,full,"['FLAT', 'HNSW', 'HNSW-BQ']",72557,905658942,1090528245,80975403,8225467,full
epsilla,Epsilla,"{'docs': 'https://epsilla-inc.gitbook.io/epsilladb/', 'github': 'https://github.com/epsilla-cloud/vectordb', 'website': 'https://epsilla.com/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/89', 'poc_github': 'https://github.com/richard-epsilla', 'slug': 'epsilla'}",full,GPL-3.0,['c++'],2023,full,full,,,full,full,,,full,,,full,,full,full,full,"Storage: $0.025 / GB / month
Compute: $0.0125 / CU / hour
1CU = 0.125vCPU 512MB RAM
Traffic: $0.03 / GB https://epsilla.com/pricing",none,full,,,full,"{'bytes': 0, 'unlimited': True, 'source_url': '', 'comment': ''}",0,,['Proprietary'],852,0,64817,0,0,
